x,y,value
7,17,8
7,18,7
7,19,6
7,20,5
7,21,4
7,22,3
7,23,2
7,24,10
7,25,9
7,26,8
7,27,7
7,28,6
7,29,5
7,30,4
7,31,3
7,32,11
7,33,10
7,34,9
7,35,8
7,36,7
7,37,6
7,38,5
7,39,4
7,40,12
7,41,11
7,42,10
7,43,9
7,44,8
7,45,7
7,46,6
7,47,5
7,48,13
7,49,12
7,50,11
7,51,10
7,52,9
7,53,8
7,54,7
7,55,6
7,56,14
7,57,13
7,58,12
7,59,11
7,60,10
7,61,9
7,62,8
7,63,7
8,0,1
8,1,2
8,2,3
8,3,4
8,4,5
8,5,6
8,6,7
8,7,8
8,8,0
8,9,1
8,10,2
8,11,3
8,12,4
8,13,5
8,14,6
8,15,7
8,16,1
8,17,2
8,18,3
8,19,4
8,20,5
8,21,6
8,22,7
8,23,8
8,24,2
8,25,3
8,26,4
8,27,5
8,28,6
8,29,7
8,30,8
8,31,9
8,32,3
8,33,4
8,34,5
8,35,6
8,36,7
8,37,8
8,38,9
8,39,10
8,40,4
8,41,5
8,42,6
8,43,7
8,44,8
8,45,9
8,46,10
8,47,11
8,48,5
8,49,6
8,50,7
8,51,8
8,52,9
8,53,10
8,54,11
8,55,12
8,56,6
8,57,7
8,58,8
8,59,9
8,60,10
8,61,11
8,62,12
8,63,13
9,0,2
9,1,1
9,2,2
9,3,3
9,4,4
9,5,5
9,6,6
9,7,7
9,8,1
9,9,0
9,10,1
9,11,2
9,12,3
9,13,4
9,14,5
9,15,6
9,16,2
9,17,1
9,18,2
9,19,3
9,20,4
9,21,5
9,22,6
9,23,7
9,24,3
9,25,2
9,26,3
9,27,4
9,28,5
9,29,6
9,30,7
9,31,8
9,32,4
9,33,3
9,34,4
9,35,5
9,36,6
9,37,7
9,38,8
9,39,9
9,40,5
9,41,4
9,42,5
9,43,6
9,44,7
9,45,8
9,46,9
9,47,10
9,48,6
9,49,5
9,50,6
9,51,7
9,52,8
9,53,9
9,54,10
9,55,11
9,56,7
9,57,6
9,58,7
9,59,8
9,60,9
9,61,10
9,62,11
9,63,12
10,0,3
10,1,2
10,2,1
10,3,2
10,4,3
10,5,4
10,6,5
10,7,6
10,8,2
10,9,1
10,10,0
10,11,1
10,12,2
10,13,3
10,14,4
10,15,5
10,16,3
10,17,2
10,18,1
10,19,2
10,20,3
10,21,4
10,22,5
10,23,6
10,24,4
10,25,3
10,26,2
10,27,3
10,28,4
10,29,5
10,30,6
10,31,7
10,32,5
10,33,4
10,34,3
10,35,4
10,36,5
10,37,6
10,38,7
10,39,8
10,40,6
10,41,5
10,42,4
10,43,5
10,44,6
10,45,7
10,46,8
10,47,9
10,48,7
10,49,6
10,50,5
10,51,6
10,52,7
10,53,8
10,54,9
10,55,10
10,56,8
10,57,7
10,58,6
10,59,7
10,60,8
10,61,9
10,62,10
10,63,11
11,0,4
11,1,3
11,2,2
11,3,1
11,4,2
11,5,3
11,6,4
11,7,5
11,8,3
11,9,2
11,10,1
11,11,0
11,12,1
11,13,2
11,14,3
11,15,4
11,16,4
11,17,3
11,18,2
11,19,1
11,20,2
11,21,3
11,22,4
11,23,5
11,24,5
11,25,4
11,26,3
11,27,2
11,28,3
11,29,4
11,30,5
11,31,6
11,32,6
11,33,5
11,34,4
11,35,3
11,36,4
11,37,5
11,38,6
11,39,7
11,40,7
11,41,6
11,42,5
11,43,4
11,44,5
11,45,6
11,46,7
11,47,8
11,48,8
11,49,7
11,50,6
11,51,5
11,52,6
11,53,7
11,54,8
11,55,9
11,56,9
11,57,8
11,58,7
11,59,6
11,60,7
11,61,8
11,62,9
11,63,10
12,0,5
12,1,4
12,2,3
12,3,2
12,4,1
12,5,2
12,6,3
12,7,4
12,8,4
12,9,3
12,10,2
12,11,1
12,12,0
12,13,1
12,14,2
12,15,3
12,16,5
12,17,4
12,18,3
12,19,2
12,20,1
12,21,2
12,22,3
12,23,4
12,24,6
12,25,5
12,26,4
12,27,3
12,28,2
12,29,3
12,30,4
12,31,5
12,32,7
12,33,6
12,34,5
12,35,4
12,36,3
12,37,4
12,38,5
12,39,6
12,40,8
12,41,7
12,42,6
12,43,5
12,44,4
12,45,5
12,46,6
12,47,7
12,48,9
12,49,8
12,50,7
12,51,6
12,52,5
12,53,6
12,54,7
12,55,8
12,56,10
12,57,9
12,58,8
12,59,7
12,60,6
12,61,7
12,62,8
12,63,9
13,0,6
13,1,5
13,2,4
13,3,3
13,4,2
13,5,1
13,6,2
13,7,3
13,8,5
13,9,4
13,10,3
13,11,2
13,12,1
13,13,0
13,14,1
13,15,2
13,16,6
13,17,5
13,18,4
13,19,3
13,20,2
13,21,1
13,22,2
13,23,3
13,24,7
13,25,6
13,26,5
13,27,4
13,28,3
13,29,2
13,30,3
13,31,4
13,32,8
13,33,7
13,34,6
13,35,5
13,36,4
13,37,3
13,38,4
13,39,5
13,40,9
13,41,8
13,42,7
13,43,6
13,44,5
13,45,4
13,46,5
13,47,6
13,48,10
13,49,9
13,50,8
13,51,7
13,52,6
13,53,5
13,54,6
13,55,7
13,56,11
13,57,10
13,58,9
13,59,8
13,60,7
13,61,6
13,62,7
13,63,8
14,0,7
14,1,6
14,2,5
14,3,4
14,4,3
14,5,2
14,6,1
14,7,2
14,8,6
14,9,5
14,10,4
14,11,3
14,12,2
14,13,1
14,14,0
14,15,1
14,16,7
14,17,6
14,18,5
14,19,4
14,20,3
14,21,2
14,22,1
14,23,2
14,24,8
14,25,7
14,26,6
14,27,5
14,28,4
14,29,3
14,30,2
14,31,3
14,32,9
14,33,8
14,34,7
14,35,6
14,36,5
14,37,4
14,38,3
14,39,4
14,40,10
14,41,9
14,42,8
14,43,7
14,44,6
14,45,5
14,46,4
14,47,5
14,48,11
14,49,10
14,50,9
14,51,8
14,52,7
14,53,6
14,54,5
14,55,6
14,56,12
14,57,11
14,58,10
14,59,9
14,60,8
14,61,7
14,62,6
14,63,7
15,0,8
15,1,7
15,2,6
15,3,5
15,4,4
15,5,3
15,6,2
15,7,1
15,8,7
15,9,6
15,10,5
15,11,4
15,12,3
15,13,2
15,14,1
15,15,0
15,16,8
15,17,7
15,18,6
15,19,5
15,20,4
15,21,3
15,22,2
15,23,1
15,24,9
15,25,8
15,26,7
15,27,6
15,28,5
15,29,4
15,30,3
15,31,2
15,32,10
15,33,9
15,34,8
15,35,7
15,36,6
15,37,5
15,38,4
15,39,3
15,40,11
15,41,10
15,42,9
15,43,8
15,44,7
15,45,6
15,46,5
15,47,4
15,48,12
15,49,11
15,50,10
15,51,9
15,52,8
15,53,7
15,54,6
15,55,5
15,56,13
15,57,12
15,58,11
15,59,10
15,60,9
15,61,8
15,62,7
15,63,6
16,0,2
16,1,3
16,2,4
16,3,5
16,4,6
16,5,7
16,6,8
16,7,9
16,8,1
16,9,2
16,10,3
16,11,4
16,12,5
16,13,6
16,14,7
16,15,8
16,16,0
16,17,1
16,18,2
16,19,3
16,20,4
16,21,5
16,22,6
16,23,7
16,24,1
16,25,2
16,26,3
16,27,4
16,28,5
16,29,6
16,30,7
16,31,8
16,32,2
16,33,3
16,34,4
16,35,5
16,36,6
16,37,7
16,38,8
16,39,9
16,40,3
16,41,4
16,42,5
16,43,6
16,44,7
16,45,8
16,46,9
16,47,10
16,48,4
16,49,5
16,50,6
16,51,7
16,52,8
16,53,9
16,54,10
16,55,11
16,56,5
16,57,6
16,58,7
16,59,8
16,60,9
16,61,10
16,62,11
16,63,12
17,0,3
17,1,2
17,2,3
17,3,4
17,4,5
17,5,6
17,6,7
17,7,8
17,8,2
17,9,1
17,10,2
17,11,3
17,12,4
17,13,5
17,14,6
17,15,7
17,16,1
17,17,0
17,18,1
17,19,2
17,20,3
17,21,4
17,22,5
17,23,6
17,24,2
17,25,1
17,26,2
17,27,3
17,28,4
17,29,5
17,30,6
17,31,7
17,32,3
17,33,2
17,34,3
17,35,4
17,36,5
17,37,6
17,38,7
17,39,8
17,40,4
17,41,3
17,42,4
17,43,5
17,44,6
17,45,7
17,46,8
17,47,9
17,48,5
17,49,4
17,50,5
17,51,6
17,52,7
17,53,8
17,54,9
17,55,10
17,56,6
17,57,5
17,58,6
17,59,7
17,60,8
17,61,9
17,62,10
17,63,11
18,0,4
18,1,3
18,2,2
18,3,3
18,4,4
18,5,5
18,6,6
18,7,7
18,8,3
18,9,2
18,10,1
18,11,2
18,12,3
18,13,4
18,14,5
18,15,6
18,16,2
18,17,1
18,18,0
18,19,1
18,20,2
18,21,3
18,22,4
18,23,5
18,24,3
18,25,2
18,26,1
18,27,2
18,28,3
18,29,4
18,30,5
18,31,6
18,32,4
18,33,3
18,34,2
18,35,3
18,36,4
18,37,5
18,38,6
18,39,7
18,40,5
18,41,4
18,42,3
18,43,4
18,44,5
18,45,6
18,46,7
18,47,8
18,48,6
18,49,5
18,50,4
18,51,5
18,52,6
18,53,7
18,54,8
18,55,9
18,56,7
18,57,6
18,58,5
18,59,6
18,60,7
18,61,8
18,62,9
18,63,10
19,0,5
19,1,4
19,2,3
19,3,2
19,4,3
19,5,4
19,6,5
19,7,6
19,8,4
19,9,3
19,10,2
19,11,1
19,12,2
19,13,3
19,14,4
19,15,5
19,16,3
19,17,2
19,18,1
19,19,0
19,20,1
19,21,2
19,22,3
19,23,4
19,24,4
19,25,3
19,26,2
19,27,1
19,28,2
19,29,3
19,30,4
19,31,5
19,32,5
19,33,4
19,34,3
19,35,2
19,36,3
19,37,4
19,38,5
19,39,6
19,40,6
19,41,5
19,42,4
19,43,3
19,44,4
19,45,5
19,46,6
19,47,7
19,48,7
19,49,6
19,50,5
19,51,4
19,52,5
19,53,6
19,54,7
19,55,8
19,56,8
19,57,7
19,58,6
19,59,5
19,60,6
19,61,7
19,62,8
19,63,9
20,0,6
20,1,5
20,2,4
20,3,3
20,4,2
20,5,3
20,6,4
20,7,5
20,8,5
20,9,4
20,10,3
20,11,2
20,12,1
20,13,2
20,14,3
20,15,4
20,16,4
20,17,3
20,18,2
20,19,1
20,20,0
20,21,1
20,22,2
20,23,3
20,24,5
20,25,4
20,26,3
20,27,2
20,28,1
20,29,2
20,30,3
20,31,4
20,32,6
20,33,5
20,34,4
20,35,3
20,36,2
20,37,3
20,38,4
20,39,5
20,40,7
20,41,6
20,42,5
20,43,4
20,44,3
20,45,4
20,46,5
20,47,6
20,48,8
20,49,7
20,50,6
20,51,5
20,52,4
20,53,5
20,54,6
20,55,7
20,56,9
20,57,8
20,58,7
20,59,6
20,60,5
20,61,6
20,62,7
20,63,8
21,0,7
21,1,6
21,2,5
21,3,4
21,4,3
21,5,2
21,6,3
21,7,4
21,8,6
21,9,5
21,10,4
21,11,3
21,12,2
21,13,1
21,14,2
21,15,3
21,16,5
21,17,4
21,18,3
21,19,2
21,20,1
21,21,0
21,22,1
21,23,2
21,24,6
21,25,5
21,26,4
21,27,3
21,28,2
21,29,1
21,30,2
21,31,3
21,32,7
21,33,6
21,34,5
21,35,4
21,36,3
21,37,2
21,38,3
21,39,4
21,40,8
21,41,7
21,42,6
21,43,5
21,44,4
21,45,3
21,46,4
21,47,5
21,48,9
21,49,8
21,50,7
21,51,6
21,52,5
21,53,4
21,54,5
21,55,6
21,56,10
21,57,9
21,58,8
21,59,7
21,60,6
21,61,5
21,62,6
21,63,7
22,0,8
22,1,7
22,2,6
22,3,5
22,4,4
22,5,3
22,6,2
22,7,3
22,8,7
22,9,6
22,10,5
22,11,4
22,12,3
22,13,2
22,14,1
22,15,2
22,16,6
22,17,5
22,18,4
22,19,3
22,20,2
22,21,1
22,22,0
22,23,1
22,24,7
22,25,6
22,26,5
22,27,4
22,28,3
22,29,2
22,30,1
22,31,2
22,32,8
22,33,7
22,34,6
22,35,5
22,36,4
22,37,3
22,38,2
22,39,3
22,40,9
22,41,8
22,42,7
22,43,6
22,44,5
22,45,4
22,46,3
22,47,4
22,48,10
22,49,9
22,50,8
22,51,7
22,52,6
22,53,5
22,54,4
22,55,5
22,56,11
22,57,10
22,58,9
22,59,8
22,60,7
22,61,6
22,62,5
22,63,6
23,0,9
23,1,8
23,2,7
23,3,6
23,4,5
23,5,4
23,6,3
23,7,2
23,8,8
23,9,7
23,10,6
23,11,5
23,12,4
23,13,3
23,14,2
23,15,1
23,16,7
23,17,6
23,18,5
23,19,4
23,20,3
23,21,2
23,22,1
23,23,0
23,24,8
23,25,7
23,26,6
23,27,5
23,28,4
23,29,3
23,30,2
23,31,1
23,32,9
23,33,8
23,34,7
23,35,6
23,36,5
23,37,4
23,38,3
23,39,2
23,40,10
23,41,9
23,42,8
23,43,7
23,44,6
23,45,5
23,46,4
23,47,3
23,48,11
23,49,10
23,50,9
23,51,8
23,52,7
23,53,6
23,54,5
23,55,4
23,56,12
23,57,11
23,58,10
23,59,9
23,60,8
23,61,7
23,62,6
23,63,5
24,0,3
24,1,4
24,2,5
24,3,6
24,4,7
24,5,8
24,6,9
24,7,10
24,8,2
24,9,3
24,10,4
24,11,5
24,12,6
24,13,7
24,14,8
24,15,9
24,16,1
24,17,2
24,18,3
24,19,4
24,20,5
24,21,6
24,22,7
24,23,8
24,24,0
24,25,1
24,26,2
24,27,3
24,28,4
24,29,5
24,30,6
24,31,7
24,32,1
24,33,2
24,34,3
24,35,4
24,36,5
24,37,6
24,38,7
24,39,8
24,40,2
24,41,3
24,42,4
24,43,5
24,44,6
24,45,7
24,46,8
24,47,9
24,48,3
24,49,4
24,50,5
24,51,6
24,52,7
24,53,8
24,54,9
24,55,10
24,56,4
24,57,5
24,58,6
24,59,7
24,60,8
24,61,9
24,62,10
24,63,11
25,0,4
25,1,3
25,2,4
25,3,5
25,4,6
25,5,7
25,6,8
25,7,9
25,8,3
25,9,2
25,10,3
25,11,4
25,12,5
25,13,6
25,14,7
25,15,8
25,16,2
25,17,1
25,18,2
25,19,3
25,20,4
25,21,5
25,22,6
25,23,7
25,24,1
25,25,0
25,26,1
25,27,2
25,28,3
25,29,4
25,30,5
25,31,6
25,32,2
25,33,1
25,34,2
25,35,3
25,36,4
25,37,5
25,38,6
25,39,7
25,40,3
25,41,2
25,42,3
25,43,4
25,44,5
25,45,6
25,46,7
25,47,8
25,48,4
25,49,3
25,50,4
25,51,5
25,52,6
25,53,7
25,54,8
25,55,9
25,56,5
25,57,4
25,58,5
25,59,6
25,60,7
25,61,8
25,62,9
25,63,10
26,0,5
26,1,4
26,2,3
26,3,4
26,4,5
26,5,6
26,6,7
26,7,8
26,8,4
26,9,3
26,10,2
26,11,3
26,12,4
26,13,5
26,14,6
26,15,7
26,16,3
26,17,2
26,18,1
26,19,2
26,20,3
26,21,4
26,22,5
26,23,6
26,24,2
26,25,1
26,26,0
26,27,1
26,28,2
26,29,3
26,30,4
26,31,5
26,32,3
26,33,2
26,34,1
26,35,2
26,36,3
26,37,4
26,38,5
26,39,6
26,40,4
26,41,3
26,42,2
26,43,3
26,44,4
26,45,5
26,46,6
26,47,7
26,48,5
26,49,4
26,50,3
26,51,4
26,52,5
26,53,6
26,54,7
26,55,8
26,56,6
26,57,5
26,58,4
26,59,5
26,60,6
26,61,7
26,62,8
26,63,9
27,0,6
27,1,5
27,2,4
27,3,3
27,4,4
27,5,5
27,6,6
27,7,7
27,8,5
27,9,4
27,10,3
27,11,2
27,12,3
27,13,4
27,14,5
27,15,6
27,16,4
27,17,3
27,18,2
27,19,1
27,20,2
27,21,3
27,22,4
27,23,5
27,24,3
27,25,2
27,26,1
27,27,0
27,28,1
27,29,2
27,30,3
27,31,4
27,32,4
27,33,3
27,34,2
27,35,1
27,36,2
27,37,3
27,38,4
27,39,5
27,40,5
27,41,4
27,42,3
27,43,2
27,44,3
27,45,4
27,46,5
27,47,6
27,48,6
27,49,5
27,50,4
27,51,3
27,52,4
27,53,5
27,54,6
27,55,7
27,56,7
27,57,6
27,58,5
27,59,4
27,60,5
27,61,6
27,62,7
27,63,8
28,0,7
28,1,6
28,2,5
28,3,4
28,4,3
28,5,4
28,6,5
28,7,6
28,8,6
28,9,5
28,10,4
28,11,3
28,12,2
28,13,3
28,14,4
28,15,5
28,16,5
28,17,4
28,18,3
28,19,2
28,20,1
28,21,2
28,22,3
28,23,4
28,24,4
28,25,3
28,26,2
28,27,1
28,28,0
28,29,1
28,30,2
28,31,3
28,32,5
28,33,4
28,34,3
28,35,2
28,36,1
28,37,2
28,38,3
28,39,4
28,40,6
28,41,5
28,42,4
28,43,3
28,44,2
28,45,3
28,46,4
28,47,5
28,48,7
28,49,6
28,50,5
28,51,4
28,52,3
28,53,4
28,54,5
28,55,6
28,56,8
28,57,7
28,58,6
28,59,5
28,60,4
28,61,5
28,62,6
28,63,7
29,0,8
29,1,7
29,2,6
29,3,5
29,4,4
29,5,3
29,6,4
29,7,5
29,8,7
29,9,6
29,10,5
29,11,4
29,12,3
29,13,2
29,14,3
29,15,4
29,16,6
29,17,5
29,18,4
29,19,3
29,20,2
29,21,1
29,22,2
29,23,3
29,24,5
29,25,4
29,26,3
29,27,2
29,28,1
29,29,0
29,30,1
29,31,2
29,32,6
29,33,5
29,34,4
29,35,3
29,36,2
29,37,1
29,38,2
29,39,3
29,40,7
29,41,6
29,42,5
29,43,4
29,44,3
29,45,2
29,46,3
29,47,4
29,48,8
29,49,7
29,50,6
29,51,5
29,52,4
29,53,3
29,54,4
29,55,5
29,56,9
29,57,8
29,58,7
29,59,6
29,60,5
29,61,4
29,62,5
29,63,6
30,0,9
30,1,8
30,2,7
30,3,6
30,4,5
30,5,4
30,6,3
30,7,4
30,8,8
30,9,7
30,10,6
30,11,5
30,12,4
30,13,3
30,14,2
30,15,3
30,16,7
30,17,6
30,18,5
30,19,4
30,20,3
30,21,2
30,22,1
30,23,2
30,24,6
30,25,5
30,26,4
30,27,3
30,28,2
30,29,1
30,30,0
30,31,1
30,32,7
30,33,6
30,34,5
30,35,4
30,36,3
30,37,2
30,38,1
30,39,2
30,40,8
30,41,7
30,42,6
30,43,5
30,44,4
30,45,3
30,46,2
30,47,3
30,48,9
30,49,8
30,50,7
30,51,6
30,52,5
30,53,4
30,54,3
30,55,4
30,56,10
30,57,9
30,58,8
30,59,7
30,60,6
30,61,5
30,62,4
30,63,5
31,0,10
31,1,9
31,2,8
31,3,7
31,4,6
31,5,5
31,6,4
31,7,3
31,8,9
31,9,8
31,10,7
31,11,6
31,12,5
31,13,4
31,14,3
31,15,2
31,16,8
31,17,7
31,18,6
31,19,5
31,20,4
31,21,3
31,22,2
31,23,1
31,24,7
31,25,6
31,26,5
31,27,4
31,28,3
31,29,2
31,30,1
31,31,0
31,32,8
31,33,7
31,34,6
31,35,5
31,36,4
31,37,3
31,38,2
31,39,1
31,40,9
31,41,8
31,42,7
31,43,6
31,44,5
31,45,4
31,46,3
31,47,2
31,48,10
31,49,9
31,50,8
31,51,7
31,52,6
31,53,5
31,54,4
31,55,3
31,56,11
31,57,10
