x,y,value
0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,1
0,9,2
0,10,3
0,11,4
0,12,7
0,13,8
0,14,13
0,15,8
0,16,2
0,17,3
0,18,4
0,19,5
0,20,6
0,21,7
0,22,8
0,23,9
0,24,3
0,25,4
0,26,5
0,27,20
0,28,19
0,29,16
0,30,9
0,31,10
0,32,4
0,33,7
0,34,6
0,35,19
0,36,18
0,37,17
0,38,30
0,39,11
0,40,5
0,41,8
0,42,7
0,43,16
0,44,17
0,45,32
0,46,33
0,47,12
0,48,6
0,49,13
0,50,8
0,51,9
0,52,30
0,53,33
0,54,34
0,55,13
0,56,7
0,57,8
0,58,9
0,59,10
0,60,11
0,61,12
0,62,13
0,63,14
1,0,1
1,1,0
1,2,1
1,3,2
1,4,3
1,5,4
1,6,5
1,7,6
1,8,2
1,9,1
1,10,2
1,11,3
1,12,8
1,13,9
1,14,12
1,15,7
1,16,3
1,17,4
1,18,3
1,19,4
1,20,5
1,21,6
1,22,7
1,23,8
1,24,4
1,25,5
1,26,6
1,27,19
1,28,20
1,29,17
1,30,8
1,31,9
1,32,5
1,33,6
1,34,7
1,35,18
1,36,17
1,37,18
1,38,29
1,39,10
1,40,6
1,41,7
1,42,8
1,43,15
1,44,16
1,45,31
1,46,34
1,47,11
1,48,7
1,49,12
1,50,9
1,51,10
1,52,31
1,53,32
1,54,33
1,55,12
1,56,8
1,57,9
1,58,10
1,59,11
1,60,12
1,61,13
1,62,14
1,63,13
2,0,2
2,1,1
2,2,0
2,3,1
2,4,2
2,5,3
2,6,4
2,7,5
2,8,3
2,9,2
2,10,1
2,11,2
2,12,9
2,13,10
2,14,9
2,15,6
2,16,4
2,17,3
2,18,6
2,19,11
2,20,12
2,21,13
2,22,8
2,23,7
2,24,5
2,25,4
2,26,7
2,27,18
2,28,19
2,29,18
2,30,9
2,31,8
2,32,6
2,33,5
2,34,8
2,35,17
2,36,16
2,37,19
2,38,28
2,39,19
2,40,7
2,41,6
2,42,9
2,43,14
2,44,15
2,45,32
2,46,35
2,47,18
2,48,8
2,49,11
2,50,10
2,51,11
2,52,32
2,53,33
2,54,34
2,55,17
2,56,9
2,57,10
