x,value
0,30
1,0
2,90
3,156
4,198
5,216
6,210
7,180
8,80
9,92
10,100
11,100
12,90
13,88
14,104
15,130
16,116
17,98
18,126
19,132
20,144
21,136
22,170
23,128
24,136
25,118
26,136
27,142
28,146
29,134
30,154
31,140
32,140
33,154
34,134
35,146
36,142
37,136
38,118
39,136
40,128
41,170
42,136
43,144
44,132
45,126
46,98
47,116
48,130
49,104
50,88
51,90
52,100
53,100
54,92
55,80
56,180
57,210
58,216
59,198
60,156
61,90
62,0
63,30
